id,playerName,position,age,games,gamesStarted,totalMinutes,fieldGoals,fieldAttempts,fieldPercent,threeFg,threeAttempts,threePercent,twoFg,twoAttempts,twoPercent,effectFgPercent,ft,ftAttempts,ftPercent,offensiveRb,defensiveRb,totalRb,assists,steals,blocks,turnovers,personalFouls,points,team,season,playerId,minutesPlayed,per,tsPercent,threePAR,ftr,offensiveRBPercent,defensiveRBPercent,totalRBPercent,assistPercent,stealPercent,blockPercent,turnoverPercent,usagePercent,offensiveWS,defensiveWS,winShares,winSharesPer,offensiveBox,defensiveBox,box,vorp,ppg,rpg,apg,bpg,spg,mpg
19127,Precious Achiuwa,C,25,57,10,1170.0,164,327,0.502,10,36,0.278,154,291,0.529,0.517,41,69,0.594,101,216,317,55,47,42,45,81,379,NYK,2025,achiupr01,1170,13.6,0.53,0.11,0.211,10.0,21.0,15.5,6.2,2.0,3.3,11.2,14.9,0.7,1.7,2.3,0.095,-2.1,0.2,-1.9,0.0,6.6,5.6,1.0,0.7,0.8,20.5
19076,Steven Adams,C,31,58,3,794.0,91,167,0.545,0,2,0.0,91,165,0.552,0.545,43,93,0.462,166,161,327,66,22,28,54,60,225,HOU,2025,adamsst01,794,16.6,0.541,0.012,0.557,21.8,22.0,21.9,10.9,1.3,3.2,20.6,13.6,1.0,1.3,2.3,0.137,0.0,0.3,0.3,0.5,3.9,5.6,1.1,0.5,0.4,13.7
18778,Bam Adebayo,C,27,78,78,2674.0,540,1113,0.485,79,221,0.357,461,892,0.517,0.521,251,328,0.765,185,564,749,337,98,53,161,162,1410,MIA,2025,adebaba01,2674,18.9,0.561,0.199,0.295,7.7,23.1,15.5,20.0,1.8,1.9,11.4,23.5,3.5,4.0,7.5,0.135,1.0,1.0,2.0,2.7,18.1,9.6,4.3,0.7,1.3,34.3
18819,Ochai Agbaji,SG,24,64,45,1739.0,266,534,0.498,101,253,0.399,165,281,0.587,0.593,34,48,0.708,61,181,242,98,58,30,54,125,667,TOR,2025,agbajoc01,1739,12.0,0.601,0.474,0.09,3.7,11.4,7.5,7.9,1.6,1.6,8.9,14.6,1.6,1.5,3.1,0.087,-0.9,0.2,-0.7,0.5,10.4,3.8,1.5,0.5,0.9,27.2
18793,Santi Aldama,PF,24,65,16,1660.0,313,648,0.483,120,326,0.368,193,322,0.599,0.576,65,94,0.691,94,322,416,188,52,29,71,76,811,MEM,2025,aldamsa01,1660,16.8,0.588,0.503,0.145,6.1,20.3,13.3,15.2,1.5,1.6,9.3,18.5,2.9,2.0,5.0,0.144,2.5,0.7,3.2,2.2,12.5,6.4,2.9,0.4,0.8,25.5
18860,Nickeil Alexander-Walker,SG,26,82,10,2073.0,270,616,0.438,141,370,0.381,129,246,0.524,0.553,92,118,0.78,54,211,265,223,50,34,99,139,773,MIN,2025,alexani01,2073,11.6,0.579,0.601,0.192,2.9,11.1,7.1,15.0,1.2,1.5,12.9,16.0,2.0,2.3,4.3,0.099,-0.8,0.4,-0.4,0.8,9.4,3.2,2.7,0.4,0.6,25.3
19146,Trey Alexander,SG,21,24,0,117.0,13,41,0.317,3,17,0.176,10,24,0.417,0.354,3,4,0.75,1,11,12,11,2,1,5,10,32,DEN,2025,alexatr01,117,2.9,0.374,0.415,0.098,1.0,9.8,5.6,11.4,0.8,0.8,10.5,17.3,-0.2,0.0,-0.2,-0.077,-7.9,-1.8,-9.7,-0.2,1.3,0.5,0.5,0.0,0.1,4.9
18872,Grayson Allen,SG,29,64,7,1544.0,219,489,0.448,149,350,0.426,70,139,0.504,0.6,93,114,0.816,34,160,194,137,54,19,75,95,680,PHO,2025,allengr01,1544,13.7,0.631,0.716,0.233,2.5,11.3,7.0,12.5,1.7,1.2,12.2,17.6,2.0,0.6,2.5,0.079,0.7,-1.0,-0.3,0.7,10.6,3.0,2.1,0.3,0.8,24.1
18792,Jarrett Allen,C,26,82,82,2296.0,452,640,0.706,0,5,0.0,452,635,0.712,0.706,199,277,0.718,216,582,798,158,77,73,97,127,1103,CLE,2025,allenja01,2296,22.1,0.724,0.008,0.433,10.5,26.7,18.8,9.5,1.6,2.9,11.3,15.9,7.6,4.0,11.6,0.243,3.0,1.2,4.2,3.6,13.5,9.7,1.9,0.9,0.9,28.0
18964,Jose Alvarado,PG,26,56,23,1366.0,204,521,0.392,111,309,0.359,93,212,0.439,0.498,60,74,0.811,27,109,136,259,74,14,86,91,579,NOP,2025,alvarjo01,1366,13.4,0.523,0.593,0.142,2.1,8.9,5.4,27.3,2.6,1.0,13.4,19.8,0.7,0.5,1.2,0.043,-0.6,-0.8,-1.4,0.2,10.3,2.4,4.6,0.2,1.3,24.4
19416,Kyle Anderson,SF,31,25,1,461.0,66,134,0.493,6,18,0.333,60,116,0.517,0.515,30,38,0.789,26,70,96,64,14,13,17,41,168,MIA,2025,anderky01,461,15.3,0.557,0.134,0.284,6.3,16.6,11.5,20.1,1.5,2.7,10.1,16.1,0.7,0.6,1.3,0.139,-1.0,1.7,0.6,0.3,6.7,3.8,2.6,0.5,0.6,18.4
18715,Giannis Antetokounmpo,PF,30,67,67,2289.0,793,1319,0.601,14,63,0.222,779,1256,0.62,0.607,436,707,0.617,147,651,798,433,58,78,206,155,2036,MIL,2025,antetgi01,2289,30.5,0.625,0.048,0.536,7.3,29.7,19.0,36.0,1.2,3.2,11.2,35.2,7.8,3.7,11.5,0.241,6.9,2.5,9.5,6.6,30.4,11.9,6.5,1.2,0.9,34.2
18957,Cole Anthony,PG,24,67,22,1234.0,230,543,0.424,77,218,0.353,153,325,0.471,0.494,93,113,0.823,46,158,204,191,45,32,103,151,630,ORL,2025,anthoco01,1234,14.2,0.531,0.401,0.208,4.1,15.5,9.5,25.5,1.8,2.5,14.8,24.6,0.0,2.0,2.0,0.078,-0.8,0.9,0.1,0.7,9.4,3.0,2.9,0.5,0.7,18.4
18754,OG Anunoby,PF,27,74,74,2706.0,489,1027,0.476,171,460,0.372,318,567,0.561,0.559,183,226,0.81,97,261,358,164,110,65,102,172,1332,NYK,2025,anunoog01,2706,15.4,0.591,0.448,0.22,4.2,11.0,7.6,8.5,2.0,2.2,8.3,19.7,3.7,2.8,6.5,0.116,0.7,0.1,0.7,1.9,18.0,4.8,2.2,0.9,1.5,36.6
19143,Armel Traoré,SF,22,9,0,67.0,6,19,0.316,0,7,0.0,6,12,0.5,0.316,2,7,0.286,2,13,15,1,4,2,3,6,14,LAL,2025,armeltr01,67,3.5,0.317,0.368,0.368,3.5,21.2,12.6,2.0,2.9,2.8,12.0,16.4,-0.2,0.1,-0.1,-0.092,-9.5,-0.4,-9.8,-0.1,1.6,1.7,0.1,0.2,0.4,7.4
18817,Deni Avdija,SF,24,72,54,2161.0,402,844,0.476,125,342,0.365,277,502,0.552,0.55,290,372,0.78,110,412,522,281,71,35,196,171,1219,POR,2025,avdijde01,2161,17.7,0.605,0.405,0.441,5.4,21.2,13.1,19.9,1.6,1.5,16.3,23.2,3.1,2.5,5.6,0.124,1.5,0.6,2.1,2.2,16.9,7.2,3.9,0.5,1.0,30.0
18846,Deandre Ayton,C,26,40,40,1206.0,265,468,0.566,6,32,0.188,259,436,0.594,0.573,40,60,0.667,124,282,406,64,31,39,69,88,576,POR,2025,aytonde01,1206,17.7,0.583,0.068,0.128,10.9,26.0,18.2,8.5,1.2,2.9,12.2,19.4,1.2,1.6,2.8,0.113,-0.3,-0.4,-0.7,0.4,14.4,10.2,1.6,1.0,0.8,30.2
19460,Marvin Bagley III,PF,25,12,1,99.0,17,35,0.486,1,9,0.111,16,26,0.615,0.5,8,12,0.667,11,17,28,4,2,3,1,6,43,MEM,2025,baglema01,99,15.7,0.534,0.257,0.343,11.9,18.0,15.0,5.3,0.9,2.8,2.4,16.8,0.2,0.1,0.3,0.14,-0.5,-1.0,-1.5,0.0,3.6,2.3,0.3,0.2,0.2,8.2
19583,Marcus Bagley,SF,23,10,4,253.0,27,69,0.391,5,32,0.156,22,37,0.595,0.428,8,10,0.8,23,47,70,10,9,12,7,16,67,PHI,2025,baglema02,253,11.8,0.456,0.464,0.145,9.9,21.9,15.7,5.5,1.8,4.7,8.7,13.8,0.0,0.2,0.2,0.045,-3.4,-0.9,-4.3,-0.1,6.7,7.0,1.0,1.2,0.9,25.3
19611,Patrick Baldwin Jr.,SF,22,2,0,6.0,2,2,1.0,2,2,1.0,0,0,0.0,1.5,0,0,0.0,0,3,3,1,0,0,0,2,6,LAC,2025,baldwpa01,6,45.4,1.5,1.0,0.0,0.0,55.8,28.3,31.6,0.0,0.0,0.0,14.5,0.1,0.0,0.1,0.573,19.9,10.8,30.7,0.1,3.0,1.5,0.5,0.0,0.0,3.0
18726,LaMelo Ball,PG,23,47,47,1505.0,406,1003,0.405,179,528,0.339,227,475,0.478,0.494,193,229,0.843,47,185,232,346,54,13,167,157,1184,CHO,2025,ballla01,1505,19.1,0.536,0.526,0.228,3.3,13.4,8.2,43.8,1.8,0.8,13.1,35.9,0.9,1.1,2.0,0.065,4.1,-0.9,3.2,2.0,25.2,4.9,7.4,0.3,1.1,32.0
19070,Lonzo Ball,PG,27,35,14,777.0,89,243,0.366,67,195,0.344,22,48,0.458,0.504,22,27,0.815,25,93,118,115,47,17,41,55,267,CHI,2025,balllo01,777,12.2,0.524,0.802,0.111,3.4,12.3,8.0,18.9,2.8,1.9,13.9,15.9,0.3,0.9,1.2,0.075,-1.5,1.7,0.2,0.4,7.6,3.4,3.3,0.5,1.3,22.2
19552,Mo Bamba,C,26,4,0,61.0,4,9,0.444,0,4,0.0,4,5,0.8,0.444,2,2,1.0,6,19,25,2,0,3,1,7,10,NOP,2025,bambamo01,61,10.6,0.506,0.444,0.222,10.3,34.6,22.1,4.2,0.0,4.7,9.2,7.5,0.1,0.0,0.1,0.08,-3.4,-1.1,-4.5,0.0,2.5,6.2,0.5,0.8,0.0,15.2
18932,Paolo Banchero,PF,22,46,46,1582.0,412,911,0.452,87,272,0.32,325,639,0.509,0.5,280,385,0.727,51,294,345,219,36,28,136,97,1191,ORL,2025,banchpa01,1582,20.0,0.551,0.299,0.423,3.5,22.4,12.5,26.0,1.1,1.7,11.2,33.6,1.1,2.4,3.5,0.106,3.4,0.2,3.5,2.2,25.9,7.5,4.8,0.6,0.8,34.4
18841,Desmond Bane,SG,26,69,68,2205.0,493,1018,0.484,164,418,0.392,329,600,0.548,0.565,177,198,0.894,62,356,418,369,80,28,169,164,1327,MEM,2025,banede01,2205,17.9,0.6,0.411,0.194,3.0,16.9,10.0,23.6,1.7,1.2,13.3,23.3,4.0,2.6,6.5,0.142,2.6,0.6,3.2,2.9,19.2,6.1,5.3,0.4,1.2,32.0
